Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version,AHNAK_mut,AKAP9_mut,APC_mut,ARFGEF2_mut,ARID1A_mut,ARID1B_mut,ARID4B_mut,ASH1L_mut,ASPM_mut,ASXL2_mut,ATM_mut,ATR_mut,BAP1_mut,BNC2_mut,BRAF_mut,BRCA1_mut,BRCA2_mut,CDH1_mut,CHD4_mut,CHEK2_mut,CLSPN_mut,CTCF_mut,CUX1_mut,DHX15_mut,EIF4A2_mut,EP300_mut,FAT1_mut,FLT3_mut,FTSJD1_mut,GATA3_mut,KALRN_mut,KDM5C_mut,KDM6A_mut,KRAS_mut,LARP4B_mut,LPHN2_mut,MACF1_mut,MAP2K4_mut,MAP3K1_mut,MAX_mut,MECOM_mut,MED23_mut,MGA_mut,MLL3_mut,MLLT4_mut,MLL_mut,MYH9_mut,NF1_mut,NF2_mut,NSD1_mut,NUP98_mut,PIK3CA_mut,PIK3R1_mut,POLR2B_mut,PTEN_mut,SACS_mut,SMARCA4_mut,STAG2_mut,SVEP1_mut,TCF12_mut,TP53_mut,TRIO_mut,ZFP36L1_mut,cnaBRCA1,cnaBRCA10,cnaBRCA11,cnaBRCA12,cnaBRCA13,cnaBRCA14,cnaBRCA15,cnaBRCA16,cnaBRCA17,cnaBRCA18,cnaBRCA19,cnaBRCA2,cnaBRCA20,cnaBRCA21,cnaBRCA22,cnaBRCA23,cnaBRCA24,cnaBRCA25,cnaBRCA26,cnaBRCA27,cnaBRCA28,cnaBRCA29,cnaBRCA3,cnaBRCA30,cnaBRCA31,cnaBRCA32,cnaBRCA33,cnaBRCA34,cnaBRCA35,cnaBRCA36,cnaBRCA37,cnaBRCA38,cnaBRCA39,cnaBRCA4,cnaBRCA40,cnaBRCA41,cnaBRCA42,cnaBRCA43,cnaBRCA44,cnaBRCA45,cnaBRCA46,cnaBRCA47,cnaBRCA48,cnaBRCA49,cnaBRCA5,cnaBRCA50,cnaBRCA51,cnaBRCA52,cnaBRCA53,cnaBRCA54,cnaBRCA55,cnaBRCA56,cnaBRCA57,cnaBRCA58,cnaBRCA59,cnaBRCA6,cnaBRCA60,cnaBRCA61,cnaBRCA62,cnaBRCA63,cnaBRCA64,cnaBRCA65,cnaBRCA7,cnaBRCA8,cnaBRCA9,Response
Cisplatin,1005,MCF7,905946,BRCA,breast,breast,4.60036527624758,0.9643649659123124,6.0,0.0675425497376763,0.7480248838155281,GDSC2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisplatin,1005,BT-549,905951,BRCA,breast,breast,5.707087058732404,0.9783842041550354,6.0,0.0630459505309112,1.348834374919406,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisplatin,1005,Hs-578-T,905957,BRCA,breast,breast,4.284615279025387,0.9659139777555004,6.0,0.0936898151703076,0.5766127022271377,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cisplatin,1005,MDA-MB-231,905960,BRCA,breast,breast,3.757227809587947,0.9657403362357838,6.0,0.0591778364191428,0.290308228833785,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cisplatin,1005,BT-20,906801,BRCA,breast,breast,3.5988604924394267,0.9769140482303708,6.0,0.0635909179196533,0.2043348715462287,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Cisplatin,1005,COLO-824,906812,BRCA,breast,breast,4.528568665742688,0.9771816645837764,6.0,0.0547694465586262,0.7090484348984587,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisplatin,1005,CAL-120,906826,BRCA,breast,breast,6.34881381984664,0.965541551264384,6.0,0.0597001276076711,1.6972105746785997,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisplatin,1005,DU-4475,906844,BRCA,breast,breast,1.5403946439338418,0.9071489100539328,6.0,0.0929142089032834,-0.9131508764243192,GDSC2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Cisplatin,1005,EFM-19,906851,BRCA,breast,breast,5.605382282737756,0.9842847502813264,6.0,0.0543005105735689,1.293621587319812,GDSC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisplatin,1005,EVSA-T,906862,BRCA,breast,breast,4.198504279369118,0.9884837915739768,6.0,0.0956336620258439,0.5298653564165487,GDSC2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
