Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","HCC1954","749709","BRCA","breast","breast",".31774106854704365",".98326239571767327",".10000000000000001",".082831376586956856","1.4031635712260486","GDSC2"
"Camptothecin","1003","HCC1143","749710","BRCA","breast","breast",".63618413965515952",".96904978390057328",".10000000000000001",".077197751270796103","1.5765457369057774","GDSC2"
"Camptothecin","1003","HCC1187","749711","BRCA","breast","breast","1.235544346530304",".99232574128891948",".10000000000000001",".079605439826100424","1.9028783850888533","GDSC2"
"Camptothecin","1003","HCC1395","749712","BRCA","breast","breast","-2.2558990018258287",".86120796652052878",".10000000000000001",".096794055476697449",".0018980717802158059","GDSC2"
"Camptothecin","1003","HCC1599","749713","BRCA","breast","breast","-3.2470211126427406",".76840351338779977",".10000000000000001",".11197327464205681","-.53773652422001406","GDSC2"
"Camptothecin","1003","HCC1937","749714","BRCA","breast","breast",".13445353825086379",".95534536693013439",".10000000000000001",".059842796151619089","1.3033693165284754","GDSC2"
"Camptothecin","1003","HCC2157","749715","BRCA","breast","breast","-2.6556086729395805",".87264118865292362",".10000000000000001",".15721620464250158","-.21573118352019338","GDSC2"
"Camptothecin","1003","HCC2218","749716","BRCA","breast","breast","1.0573816853522715",".99349689613560366",".10000000000000001",".16014405972225756","1.8058744592982263","GDSC2"
"Camptothecin","1003","HCC38","749717","BRCA","breast","breast","-1.6997643486505947",".88697978262849342",".10000000000000001",".090364120086174407",".30469577512333496","GDSC2"
"Camptothecin","1003","T47D","905945","BRCA","breast","breast","-1.3346572417823779",".92286562448374077",".10000000000000001",".080095573804811068",".50348503021244762","GDSC2"
"Camptothecin","1003","MCF7","905946","BRCA","breast","breast","-1.8422699488819145",".87105040893353802",".10000000000000001",".10022038659730936",".22710598959709485","GDSC2"
"Camptothecin","1003","BT-549","905951","BRCA","breast","breast","-.84884018843927445",".91516075712032285",".10000000000000001",".071434387939836461",".76799702772478717","GDSC2"
"Camptothecin","1003","Hs-578-T","905957","BRCA","breast","breast","-.68697291870221799",".93884499264687593",".10000000000000001",".12121008466267022",".85612862902487408","GDSC2"
"Camptothecin","1003","MDA-MB-231","905960","BRCA","breast","breast","-2.1179215145696269",".88500621839658211",".10000000000000001",".078646212181016237",".077022443217411724","GDSC2"
"Camptothecin","1003","BT-20","906801","BRCA","breast","breast","-2.4680578001903104",".88358432105942164",".10000000000000001",".079927440668934188","-.11361567389633534","GDSC2"
"Camptothecin","1003","COLO-824","906812","BRCA","breast","breast","-.22257594122667482",".96222361582121096",".10000000000000001",".064714957999862086","1.1089780736984338","GDSC2"
"Camptothecin","1003","CAL-120","906826","BRCA","breast","breast","-.40099280080398492",".89371914140698738",".10000000000000001",".080230614389471641","1.0118357449310182","GDSC2"
"Camptothecin","1003","DU-4475","906844","BRCA","breast","breast","-4.3282248529520864",".6996343591229659",".10000000000000001",".097947952494219406","-1.126417714184458","GDSC2"
"Camptothecin","1003","EFM-19","906851","BRCA","breast","breast",".22098609452289139",".9628814015811249",".10000000000000001",".087139107214303735","1.3504835525394496","GDSC2"
"Camptothecin","1003","EVSA-T","906862","BRCA","breast","breast","-.9697995337342854",".96671407296657963",".10000000000000001",".10538492832869703",".7021384955435962","GDSC2"
"Camptothecin","1003","HCC1419","907045","BRCA","breast","breast","1.1284652345361164",".99127500677836478",".10000000000000001",".056645011758884041","1.8445772002899188","GDSC2"
"Camptothecin","1003","HCC1569","907046","BRCA","breast","breast","-.34827526134835002",".95977702796865216",".10000000000000001",".10067871691365457","1.0405387753606592","GDSC2"
"Camptothecin","1003","HCC70","907048","BRCA","breast","breast",".3603201054016627",".98317037939499541",".10000000000000001",".054685863757535598","1.4263465081218694","GDSC2"
"Camptothecin","1003","MDA-MB-175-VII","908120","BRCA","breast","breast","-1.1120287489281537",".8607700193034824",".10000000000000001",".11072504113639724",".62469919291587872","GDSC2"
"Camptothecin","1003","MDA-MB-361","908121","BRCA","breast","breast","-.99845878733930216",".95030334069422595",".10000000000000001",".080291001335555098",".68653443972441541","GDSC2"
"Camptothecin","1003","MDA-MB-453","908122","BRCA","breast","breast","-1.8759935554661364",".89436576366451026",".10000000000000001",".085232842569051948",".20874455399180136","GDSC2"
"Camptothecin","1003","MDA-MB-468","908123","BRCA","breast","breast","-2.5127641913438419",".84871330716010807",".10000000000000001",".10962639001975161","-.13795688782493953","GDSC2"
"Camptothecin","1003","MRK-nu-1","908151","BRCA","breast","breast","-2.4817090038572833",".89433327041062705",".10000000000000001",".12676424077031162","-.12104832189736921","GDSC2"
"Camptothecin","1003","OCUB-M","909256","BRCA","breast","breast","-2.2670507048640318",".8933815762662739",".10000000000000001",".14245132096209481","-.0041736772989921962","GDSC2"
"Camptothecin","1003","UACC-893","909778","BRCA","breast","breast","-.38253605934936435",".95794231164037491",".10000000000000001",".1124682762028958","1.0218848560442146","GDSC2"
"Camptothecin","1003","ZR-75-30","909907","BRCA","breast","breast","2.8245614003969739",".98238554596998218",".10000000000000001",".053013435735831969","2.7680478395307975","GDSC2"
"Camptothecin","1003","AU565","910704","BRCA","breast","breast","-2.8347661951602157",".83845213551123476",".10000000000000001",".10387431448995921","-.3132767796367491","GDSC2"
"Camptothecin","1003","CAL-85-1","910852","BRCA","breast","breast","-1.1535881135248427",".92953701854150506",".10000000000000001",".073526207822093112",".60207143526684836","GDSC2"
